cue_stim_type,cue_orientation,cue_position,cue_time,cue_type,stim_position,expected_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,exo_trials.thisRepN,exo_trials.thisTrialN,exo_trials.thisN,exo_trials.thisIndex,intro_text.started,intro_text.stopped,intro_resp.keys,intro_resp.rt,intro_resp.started,intro_resp.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,endo_right.started,endo_right.stopped,endo_left.started,endo_left.stopped,fixation_cross.started,fixation_cross.stopped,endo_cue.started,endo_cue.stopped,endo_stimulus.started,endo_stimulus.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,exo_right.started,exo_right.stopped,exo_left.started,exo_left.stopped,fixation.started,fixation.stopped,exo_cue.started,exo_cue.stopped,exo_stimulus.started,exo_stimulus.stopped,outro_text.started,outro_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,24.895923000061885,None,space,79.88834439998027,24.895923000061885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2021_Dec_01_1410,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.993881262689159,correct,"(0.4, 0)",l,0,0,0,27,,,,,,,,,,,l,2.1704120999202132,107.7899246000452,None,104.82339360006154,None,104.82339360006154,None,104.82339360006154,None,107.2926230999874,108.04752559994813,107.7899246000452,107.88993359997403,,,,,,,,,,,,,,,,,002,2021_Dec_01_1410,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9706793863527535,incorrect,"(-0.4, 0)",a,0,1,1,10,,,,,,,,,,,a,3.353042699978687,112.93575740000233,None,109.98160179995466,None,109.98160179995466,None,109.98160179995466,None,112.43795199994929,113.18713059998117,112.93575740000233,113.03345640003681,,,,,,,,,,,,,,,,,002,2021_Dec_01_1410,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.6144709735635417,correct,"(0.4, 0)",l,0,2,2,29,,,,,,,,,,,l,0.6139297999907285,118.90531930001453,None,116.31139849999454,None,116.31139849999454,None,116.31139849999454,None,118.40757949999534,119.16003320005257,118.90531930001453,119.00441599998157,,,,,,,,,,,,,,,,,002,2021_Dec_01_1410,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.3779252118559099,incorrect,"(-0.4, 0)",a,0,3,3,17,,,,,,,,,,,None,,121.9069174999604,None,119.54170299996622,126.54678089998197,119.54170299996622,126.54678089998197,119.54170299996622,126.54678089998197,121.39545279997401,122.14185300003737,121.9069174999604,122.01034519996028,,,,,,,,,,,,,,,,,002,2021_Dec_01_1410,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.7311452878836484,correct,"(0.4, 0)",l,0,4,4,25,,,,,,,,,,,l,0.5537748999195173,131.6141074000625,128.91127619997133,128.91127619997133,None,128.91127619997133,None,128.91127619997133,None,131.11653080000542,131.8689281999832,131.6141074000625,131.7111317999661,,,,,,,,,,,,,,,,,002,2021_Dec_01_1410,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.07901741602572421,incorrect,"(0.4, 0)",l,0,5,5,35,,,,,,,,,,,None,,134.25038199999835,None,132.19095209997613,139.18460649996996,132.19095209997613,139.18460649996996,132.19095209997613,139.18460649996996,133.753076300025,134.50411390000954,134.25038199999835,134.35019519994967,,,,,,,,,,,,,,,,,002,2021_Dec_01_1410,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.4499901342346745,incorrect,"(-0.4, 0)",a,0,6,6,12,,,,,,,,,,,a,4.626430099946447,143.6811315000523,141.25763510004617,141.25763510004617,148.25522309995722,141.25763510004617,148.25522309995722,141.25763510004617,148.25522309995722,143.18291750003118,143.93620899994858,143.6811315000523,143.78319009998813,,,,,,,,,,,,,,,,,002,2021_Dec_01_1410,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7866571383694275,correct,"(-0.4, 0)",a,0,7,7,2,,,,,,,,,,,a,0.4214263000758365,151.1041714999592,None,148.33233949996065,None,148.33233949996065,None,148.33233949996065,None,150.59810079995077,151.34935370006133,151.1041714999592,151.20314480003435,,,,,,,,,,,,,,,,,002,2021_Dec_01_1410,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7387684035985251,correct,"(-0.4, 0)",a,0,8,8,1,,,,,,,,,,,a,0.02264169999398291,154.2738869000459,None,151.55212500004563,None,151.55212500004563,None,151.55212500004563,None,153.76453619997483,None,154.2738869000459,None,,,,,,,,,,,,,,,,,002,2021_Dec_01_1410,cueing,2021.2.3,None,
