cue_stim_type,cue_orientation,cue_position,cue_time,cue_type,stim_position,expected_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,exo_trials.thisRepN,exo_trials.thisTrialN,exo_trials.thisN,exo_trials.thisIndex,intro_text.started,intro_text.stopped,intro_resp.keys,intro_resp.rt,intro_resp.started,intro_resp.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,endo_right.started,endo_right.stopped,endo_left.started,endo_left.stopped,fixation_cross.started,fixation_cross.stopped,endo_cue.started,endo_cue.stopped,endo_stimulus.started,endo_stimulus.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,exo_right.started,exo_right.stopped,exo_left.started,exo_left.stopped,fixation.started,fixation.stopped,exo_cue.started,exo_cue.stopped,exo_stimulus.started,exo_stimulus.stopped,key_resp_2.rt,outro_text.started,outro_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,127.35244289995171,None,space,62.35621270001866,127.35244289995171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.4283499593741631,correct,"(0.4, 0)",l,0,0,0,24,,,,,,,,,,,l,0.9279486000305042,192.1684178999858,None,189.744301800034,None,189.744301800034,None,189.744301800034,None,191.65803319995757,192.41493840003386,192.1684178999858,192.28199579997454,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.2976392595268207,incorrect,"(0.4, 0)",l,0,1,1,31,,,,,,,,,,,None,,195.40934630006086,None,193.11843420006335,200.1182020000415,193.11843420006335,200.1182020000415,193.11843420006335,200.1182020000415,194.90025289996993,195.65193559997715,195.40934630006086,195.5194177000085,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.37307711698805524,incorrect,"(0.4, 0)",l,0,2,2,37,,,,,,,,,,,None,,204.77240729995538,202.41738080000505,202.41738080000505,209.42282680002972,202.41738080000505,209.42282680002972,202.41738080000505,209.42282680002972,204.2753099000547,205.03651100001298,204.77240729995538,204.88271140004508,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.39625884761736807,correct,"(0.4, 0)",l,0,3,3,23,,,,,,,,,,,None,,214.16079100000206,211.7745009000646,211.7745009000646,218.78405679995194,211.7745009000646,218.78405679995194,211.7745009000646,218.78405679995194,213.66298510006163,214.41550790006295,214.16079100000206,214.2718673000345,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7043933979083875,incorrect,"(0.4, 0)",l,0,4,4,39,,,,,,,,,,,None,,223.86383659997955,221.17426420003176,221.17426420003176,228.1844974999549,221.17426420003176,228.1844974999549,221.17426420003176,228.1844974999549,223.3702172000194,224.12384200002998,223.86383659997955,223.9674788999837,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9127004317251198,incorrect,"(-0.4, 0)",a,0,5,5,19,,,,,,,,,,,a,0.34290809999220073,233.76811279996764,230.87154510000255,230.87154510000255,None,230.87154510000255,None,230.87154510000255,None,233.26875769998878,234.02694939996582,233.76811279996764,233.881698400015,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.23391027043498136,correct,"(-0.4, 0)",a,0,6,6,8,,,,,,,,,,,a,0.3301066999556497,236.35538860002998,None,234.12915249995422,None,234.12915249995422,None,234.12915249995422,None,235.8455224999925,236.59648389997892,236.35538860002998,236.46551640005782,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.18359352140224616,incorrect,"(-0.4, 0)",a,0,7,7,18,,,,,,,,,,,None,,238.88735670002643,None,236.71228480001446,243.71811959997285,236.71228480001446,243.71811959997285,236.71228480001446,243.71811959997285,238.3839147000108,239.13710829999764,238.88735670002643,238.99847029999364,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9706793863527535,incorrect,"(-0.4, 0)",a,0,8,8,10,,,,,,,,,,,None,,248.85140869999304,245.89022850000765,245.89022850000765,252.88774060003925,245.89022850000765,252.88774060003925,245.89022850000765,252.88774060003925,248.34204030002002,249.09987340006046,248.85140869999304,248.9538161000237,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.6591262849764731,correct,"(0.4, 0)",l,0,9,9,22,,,,,,,,,,,l,0.3790671000024304,258.51101330004167,255.8583582000574,255.8583582000574,None,255.8583582000574,None,255.8583582000574,None,258.00298200000543,258.7592358000111,258.51101330004167,258.61438789998647,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.3779252118559099,incorrect,"(-0.4, 0)",a,0,10,10,17,,,,,,,,,,,None,,261.2743799999589,None,258.91294910002034,265.9106856000144,258.91294910002034,265.9106856000144,258.91294910002034,265.9106856000144,260.77853969996795,261.53122939995956,261.2743799999589,261.38699729996733,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.6423195276025604,correct,"(0.4, 0)",l,0,11,11,21,,,,,,,,,,,l,0.38270429999101907,270.9084257000359,268.2767888000235,268.2767888000235,None,268.2767888000235,None,268.2767888000235,None,270.4074247999815,271.15875339997,270.9084257000359,271.01059700001497,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.42702221127828477,correct,"(-0.4, 0)",a,0,12,12,6,,,,,,,,,,,a,0.2853128999704495,273.73728919995483,None,271.3163708000211,None,271.3163708000211,None,271.3163708000211,None,273.2269693999551,273.98384580004495,273.73728919995483,273.83942219999153,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.6144709735635417,correct,"(0.4, 0)",l,0,13,13,29,,,,,,,,,,,None,,276.6391140000196,None,274.03870709997136,281.03735969995614,274.03870709997136,281.03735969995614,274.03870709997136,281.03735969995614,276.1406268000137,276.899662300013,276.6391140000196,276.7408671999583,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.19704960639573776,incorrect,"(-0.4, 0)",a,0,14,14,16,,,,,,,,,,,a,0.36148019996471703,285.83329710003454,283.6461278999923,283.6461278999923,None,283.6461278999923,None,283.6461278999923,None,285.32950520003214,286.0828637999948,285.83329710003454,285.9374226999935,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9010739803891251,incorrect,"(-0.4, 0)",a,0,15,15,11,,,,,,,,,,,a,0.3018566999817267,289.10439540003426,None,286.2140150000341,None,286.2140150000341,None,286.2140150000341,None,288.6015540000517,289.35945920005906,289.10439540003426,289.21880829997826,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.3939797644424977,incorrect,"(-0.4, 0)",a,0,16,16,15,,,,,,,,,,,a,0.33799979998730123,291.81485510000493,None,289.4251984000439,None,289.4251984000439,None,289.4251984000439,None,291.3100190999685,292.0650386000052,291.81485510000493,291.93069800001103,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.8970076051360286,correct,"(0.4, 0)",l,0,17,17,20,,,,,,,,,,,l,0.3423807000508532,295.0568372999551,None,292.1722134000156,None,292.1722134000156,None,292.1722134000156,None,294.55930870003067,295.3130284000654,295.0568372999551,295.16783669998404,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.07901741602572421,incorrect,"(0.4, 0)",l,0,18,18,35,,,,,,,,,,,l,0.3026860000099987,297.4948954000138,None,295.4192100999644,None,295.4192100999644,None,295.4192100999644,None,296.98397559998557,297.7349806999555,297.4948954000138,297.59742040000856,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.02396326924047798,correct,"(-0.4, 0)",a,0,19,19,7,,,,,,,,,,,a,0.2875300000887364,299.82777980004903,None,297.8139554000227,None,297.8139554000227,None,297.8139554000227,None,299.32799140003044,300.07747000001837,299.82777980004903,299.942300900002,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7387684035985251,correct,"(-0.4, 0)",a,0,20,20,1,,,,,,,,,,,a,0.26193909998983145,302.8567197000375,None,300.1344027000014,None,300.1344027000014,None,300.1344027000014,None,302.36563240003306,303.12155569996685,302.8567197000375,302.9617578999605,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7669666969931148,correct,"(-0.4, 0)",a,0,21,21,9,,,,,,,,,,,a,0.242686300072819,305.89288050006144,None,303.1396788000129,None,303.1396788000129,None,303.1396788000129,None,305.38883760001045,None,305.89288050006144,305.99488120002206,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.5645407691009291,correct,"(-0.4, 0)",a,0,22,22,5,,,,,,,,,,,a,0.04640379990451038,308.7066105999984,None,306.15539500000887,None,306.15539500000887,None,306.15539500000887,None,308.21440950001124,306.15539500000887,308.7066105999984,None,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7866571383694275,correct,"(-0.4, 0)",a,0,23,23,2,,,,,,,,,,,a,0.22816439997404814,311.54825280001387,None,308.7680215999717,None,308.7680215999717,None,308.7680215999717,None,311.0433687999612,None,311.54825280001387,311.6499333999818,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9478101236950716,correct,"(0.4, 0)",l,0,24,24,26,,,,,,,,,,,l,0.3754079000791535,314.7466226000106,None,311.80234479997307,None,311.80234479997307,None,311.80234479997307,None,314.23685940005817,314.9949658999685,314.7466226000106,314.8507459999528,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7701712865549922,incorrect,"(0.4, 0)",l,0,25,25,34,,,,,,,,,,,l,0.29488539998419583,317.9008607000578,None,315.14583199995104,None,315.14583199995104,None,315.14583199995104,None,317.401234799996,318.153963400051,317.9008607000578,318.0068562000524,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.29956714904652626,incorrect,"(0.4, 0)",l,0,26,26,36,,,,,,,,,,,l,0.3430535999359563,320.50510579999536,None,318.21870870003477,None,318.21870870003477,None,318.21870870003477,None,320.0011274999706,320.7587904999964,320.50510579999536,320.6091954000294,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.5922941594138551,correct,"(-0.4, 0)",a,0,27,27,4,,,,,,,,,,,a,0.28162110003177077,323.46429589996114,None,320.8768475999823,None,320.8768475999823,None,320.8768475999823,None,322.9596731000347,323.71016170002986,323.46429589996114,323.5649238000624,,,,,,,,,,,,,,,,,003,2021_Dec_01_1420,cueing,2021.2.3,None,
