cue_stim_type,cue_orientation,cue_position,cue_time,cue_type,stim_position,expected_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,exo_trials.thisRepN,exo_trials.thisTrialN,exo_trials.thisN,exo_trials.thisIndex,intro_text.started,intro_text.stopped,intro_resp.keys,intro_resp.rt,intro_resp.started,intro_resp.stopped,key_resp.keys,key_resp.started,key_resp.stopped,endo_right.started,endo_right.stopped,endo_left.started,endo_left.stopped,fixation_cross.started,fixation_cross.stopped,endo_cue.started,endo_cue.stopped,endo_stimulus.started,endo_stimulus.stopped,key_resp.rt,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,exo_right.started,exo_right.stopped,exo_left.started,exo_left.stopped,fixation.started,fixation.stopped,exo_cue.started,exo_cue.stopped,exo_stimulus.started,exo_stimulus.stopped,key_resp_2.rt,outro_text.started,outro_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,9.535159999970347,None,space,53.62329489993863,9.535159999970347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,2021_Dec_01_1426,cueing,2021.2.3,84.75445360516933,
endo,-90,"(-0.035, 0)",0.7701712865549922,incorrect,"(0.4, 0)",l,0,0,0,34,,,,,,,,,,,None,65.95585470006336,None,63.19825410004705,70.20540710003115,63.19825410004705,70.20540710003115,63.19825410004705,70.20540710003115,65.45891510008369,66.21077690005768,65.95585470006336,66.06740070006344,,,,,,,,,,,,,,,,,,004,2021_Dec_01_1426,cueing,2021.2.3,84.75445360516933,
endo,-90,"(-0.035, 0)",0.37307711698805524,incorrect,"(0.4, 0)",l,0,1,1,37,,,,,,,,,,,l,75.3258463999955,72.9630147999851,72.9630147999851,None,72.9630147999851,None,72.9630147999851,None,74.82822720007971,75.59172250004485,75.3258463999955,75.42805510002654,0.8473159000277519,,,,,,,,,,,,,,,,,004,2021_Dec_01_1426,cueing,2021.2.3,84.75445360516933,
endo,-90,"(-0.035, 0)",0.7866571383694275,correct,"(-0.4, 0)",a,0,2,2,2,,,,,,,,,,,a,78.96802779997233,None,76.19264520006254,None,76.19264520006254,None,76.19264520006254,None,78.47143749997485,79.22799140005372,78.96802779997233,79.06875239999499,0.627283800044097,,,,,,,,,,,,,,,,,004,2021_Dec_01_1426,cueing,2021.2.3,84.75445360516933,
endo,90,"(0.035, 0)",0.6591262849764731,correct,"(0.4, 0)",l,0,3,3,22,,,,,,,,,,,l,82.2529644999886,None,79.61165870004334,None,79.61165870004334,None,79.61165870004334,None,81.7553043999942,82.50758970004972,82.2529644999886,82.36479760007933,0.5079658000031486,,,,,,,,,,,,,,,,,004,2021_Dec_01_1426,cueing,2021.2.3,84.75445360516933,
endo,90,"(0.035, 0)",0.4283499593741631,correct,"(0.4, 0)",l,0,4,4,24,,,,,,,,,,,l,85.20991099998355,None,82.78881340008229,None,82.78881340008229,None,82.78881340008229,None,84.70820260001346,85.46652010001708,85.20991099998355,85.3221937000053,0.4759919000789523,,,,,,,,,,,,,,,,,004,2021_Dec_01_1426,cueing,2021.2.3,84.75445360516933,
endo,-90,"(-0.035, 0)",0.5469701378611879,incorrect,"(0.4, 0)",l,0,5,5,32,,,,,,,,,,,l,88.25208530004602,None,85.7140090999892,None,85.7140090999892,None,85.7140090999892,None,87.75091529998463,88.50151189998724,88.25208530004602,88.3535058000125,0.4481634000549093,,,,,,,,,,,,,,,,,004,2021_Dec_01_1426,cueing,2021.2.3,84.75445360516933,
endo,-90,"(-0.035, 0)",0.9206860483593494,incorrect,"(0.4, 0)",l,0,6,6,38,,,,,,,,,,,l,91.62797729996964,None,88.71998040005565,None,88.71998040005565,None,88.71998040005565,None,91.13066939997952,91.89049120002892,91.62797729996964,91.73765350005124,0.47403949999716133,,,,,,,,,,,,,,,,,004,2021_Dec_01_1426,cueing,2021.2.3,84.75445360516933,
endo,-90,"(-0.035, 0)",0.23391027043498136,correct,"(-0.4, 0)",a,0,7,7,8,,,,,,,,,,,a,94.35577050002757,None,92.13060729997233,None,92.13060729997233,None,92.13060729997233,None,93.84685229999013,94.60425900004338,94.35577050002757,94.45624920004047,0.5331604999955744,,,,,,,,,,,,,,,,,004,2021_Dec_01_1426,cueing,2021.2.3,84.75445360516933,
endo,-90,"(-0.035, 0)",0.5645407691009291,correct,"(-0.4, 0)",a,0,8,8,5,,,,,,,,,,,a,97.47129100002348,None,94.91475890006404,None,94.91475890006404,None,94.91475890006404,None,96.97309310000855,97.73106170003302,97.47129100002348,97.5736087000696,0.45146679994650185,,,,,,,,,,,,,,,,,004,2021_Dec_01_1426,cueing,2021.2.3,84.75445360516933,
