cue_stim_type,cue_orientation,cue_position,cue_time,cue_type,stim_position,expected_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,exo_trials.thisRepN,exo_trials.thisTrialN,exo_trials.thisN,exo_trials.thisIndex,intro_text.started,intro_text.stopped,intro_resp.keys,intro_resp.rt,intro_resp.started,intro_resp.stopped,key_resp.keys,key_resp.started,key_resp.stopped,endo_right.started,endo_right.stopped,endo_left.started,endo_left.stopped,fixation_cross.started,fixation_cross.stopped,endo_cue.started,endo_cue.stopped,endo_stimulus.started,endo_stimulus.stopped,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,exo_right.started,exo_right.stopped,exo_left.started,exo_left.stopped,fixation.started,fixation.stopped,exo_cue.started,exo_cue.stopped,exo_stimulus.started,exo_stimulus.stopped,outro_text.started,outro_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,96.19582999998238,None,space,105.35449950001203,96.19582999998238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9478101236950716,correct,"(0.4, 0)",l,0,0,0,26,,,,,,,,,,,None,204.51150539994705,None,201.58484529994894,208.57835959992371,201.58484529994894,208.57835959992371,201.58484529994894,208.57835959992371,204.01399349991698,204.76338199991733,204.51150539994705,204.60859999991953,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.07901741602572421,incorrect,"(0.4, 0)",l,0,1,1,35,,,,,,,,,,,None,213.57916750002187,211.5194005999947,211.5194005999947,218.51739629998337,211.5194005999947,218.51739629998337,211.5194005999947,218.51739629998337,213.0817337000044,213.82987469993532,213.57916750002187,213.68265410000458,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.5469701378611879,incorrect,"(0.4, 0)",l,0,2,2,32,,,,,,,,,,,None,223.10435479995795,220.57925219996832,220.57925219996832,227.57722550001927,220.57925219996832,227.57722550001927,220.57925219996832,227.57722550001927,222.60145959991496,223.35642179998104,223.10435479995795,223.20253989996854,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9127004317251198,incorrect,"(-0.4, 0)",a,0,3,3,19,,,,,,,,,,,l,233.01110000000335,230.11305739998352,230.11305739998352,None,230.11305739998352,None,230.11305739998352,None,232.51074059994426,233.2638232000172,233.01110000000335,233.1173012999352,1.161456299945712,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.19704960639573776,incorrect,"(-0.4, 0)",a,0,4,4,16,,,,,,,,,,,None,236.3717940999195,None,234.20168189995456,241.20387760002632,234.20168189995456,241.20387760002632,234.20168189995456,241.20387760002632,235.87396979995538,236.62039609998465,236.3717940999195,236.47165279998444,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.7025707610448116,correct,"(0.4, 0)",l,0,5,5,28,,,,,,,,,,,None,246.06162329996005,243.37925040000118,243.37925040000118,250.38376989995595,243.37925040000118,250.38376989995595,243.37925040000118,250.38376989995595,245.56457489996683,246.3142116999952,246.06162329996005,246.15815649996512,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.2976392595268207,incorrect,"(0.4, 0)",l,0,6,6,31,,,,,,,,,,,a,255.33763750002254,253.064140799921,253.064140799921,None,253.064140799921,None,253.064140799921,None,254.8372732999269,255.58277550002094,255.33763750002254,255.4373444999801,3.4761366000166163,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.8970076051360286,correct,"(0.4, 0)",l,0,7,7,20,,,,,,,,,,,l,261.7165629999945,None,258.8385712999152,None,258.8385712999152,None,258.8385712999152,None,261.21982390002813,261.96996399993077,261.7165629999945,261.81651969999075,0.42198490002192557,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.2379684415492357,incorrect,"(-0.4, 0)",a,0,8,8,14,,,,,,,,,,,None,264.3828814999433,None,262.1597605999559,269.1580720000202,262.1597605999559,269.1580720000202,262.1597605999559,269.1580720000202,263.8793490999378,264.63156739994884,264.3828814999433,264.48635249992367,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
